specimen.ID,species,caste,investigator,wing,scale,LM,x,y,scale 1,body,notes
,,,,,,3,1665,693,,,
,,,,,,4,1537,683,,,
,,,,,,5,1357,656,,,
,,,,,,6,1319,703,,,
JL190809-001,tern,W,JL,hindwing,204.577,1,1526,424,,,
,,,,,,2,1693,515,,,
,,,,,,3,1680,541,,,
,,,,,,4,1541,543,,,
,,,,,,5,1342,528,,,
,,,,,,6,1317,579,,,
JL190809-002,tern,W,JL,hindwing,204.691,1,1620,482,,,
,,,,,,2,1786,598,,,
,,,,,,3,1765,620,,,
,,,,,,4,1614,609,,,
,,,,,,5,1414,583,,,
,,,,,,6,1373,632,,,
JL190809-003,vag,W,JL,hindwing,143.246,1,1545.667,466.667,,,
,,,,,,2,1676.333,528,,,
,,,,,,3,1667,544,,,
,,,,,,4,1573.667,546.667,,,
,,,,,,5,1417,544.667,,,
,,,,,,6,1399,578,,,
JL190809-004,tern,W,JL,hindwing,207.713,1,1609,410.667,,,
,,,,,,2,1785,518.667,,,
,,,,,,3,1769,545.333,,,
,,,,,,4,1614.333,540,,,
,,,,,,5,1401,508,,,
,,,,,,6,1359.667,561.333,,,
JL190809-005,vag,W,JL,hindwing,205.677,1,1538,520,,,
,,,,,,2,1719,642,,,
,,,,,,3,1705,669,,,
,,,,,,4,1548,658,,,
,,,,,,5,1304,618,,,
,,,,,,6,1265,671,,,
JL190809-006,tern,W,JL,hindwing,203.671,1,1557,326,,,
,,,,,,2,1733,438,,,
,,,,,,3,1715,457,,,
,,,,,,4,1569,448,,,
,,,,,,5,1339,427,,,
,,,,,,6,1297,474,,,
JL190809-007,tern,W,JL,hindwing,202.04,1,1528,567,,,
,,,,,,2,1679,662,,,
,,,,,,3,1669,681,,,
,,,,,,4,1550,680,,,
,,,,,,5,1357,661,,,
,,,,,,6,1330,702,,,
JL190809-008,tern,W,JL,hindwing,164.005,1,1469,547,,,
,,,,,,2,1618,648,,,
,,,,,,3,1606,668,,,
,,,,,,4,1473,656,,,
,,,,,,5,1270,635,,,
,,,,,,6,1235,680,,,
JL190809-009,tern,W,JL,hindwing,141.882,1,1459.333,646.333,,,
,,,,,,2,1572.667,717,,,
,,,,,,3,1564,732.333,,,
,,,,,,4,1464,727,,,
,,,,,,5,1332.667,709.667,,,
